edad,experiencia,kilometraje,antiguedad_auto,anio_fabricacion,siniestros_5y,prima_real
62,6,48380,18,2007,1,422.0924681247576
18,0,7848,8,2017,0,450.88525773804184
42,24,14274,8,2017,0,234.595751866146
24,6,54545,12,2013,0,433.53249752444583
26,8,96494,5,2020,0,307.11014897635994
41,2,115981,29,1996,1,528.6789502103697
18,0,166305,14,2011,0,614.0800986268346
61,3,16304,18,2007,1,466.2156650502697
25,7,11294,20,2005,0,355.6448048856192
41,11,26425,14,2011,0,278.4807328358641
28,10,199783,17,2008,3,632.7370011156256
68,35,110777,6,2019,1,356.9190386685777
34,4,140497,25,2000,0,333.848572698491
25,7,91549,10,2015,1,349.8236064279013
52,22,93464,7,2018,0,243.08714098554967
52,29,176062,5,2020,0,286.7465887523555
50,32,106748,7,2018,0,253.80211299332203
22,4,68295,1,2024,1,538.6912058752278
59,26,16091,18,2007,0,340.1196213487703
56,13,119943,15,2010,0,335.58774495305295
58,35,131074,6,2019,2,348.3766819779049
45,27,50411,9,2016,2,372.0708598124077
24,6,172030,11,2014,0,466.7776215847739
26,8,95696,16,2009,0,342.4021687008542
25,7,151779,6,2019,1,377.16069801310147
29,11,146320,21,2004,0,355.8788397754358
51,7,71309,7,2018,0,338.8028045406252
50,15,182792,6,2019,1,357.9302082267728
65,30,146109,3,2022,2,391.5214686009732
72,9,67421,2,2023,0,328.791889808318
40,22,40612,18,2007,0,297.4813350878257
41,23,13450,14,2011,1,410.16601966663734
54,8,9491,3,2022,0,298.18269179245635
52,16,117026,24,2001,0,311.22067009582895
61,10,74804,8,2017,0,261.85322789102287
57,31,93293,12,2013,2,458.24427928372177
39,9,119498,17,2008,0,365.78573623790913
44,21,137863,20,2005,0,357.42870790581037
52,16,105475,15,2010,1,434.1215496730732
18,0,28314,0,2025,0,447.01582791661417
52,24,51883,3,2022,0,284.46925272767334
54,20,87086,17,2008,3,554.1626251231986
64,36,196701,7,2018,0,287.02280614995095
31,13,101291,19,2006,0,328.5191138966378
20,0,9967,15,2010,0,465.8095134260245
18,0,43220,20,2005,0,495.2356072864703
22,4,136019,10,2015,2,629.4104996339553
43,16,170491,19,2006,0,298.31529000685197
72,23,56131,20,2005,0,295.05402268930794
31,1,28876,20,2005,1,524.4172111644995
56,38,101448,20,2005,2,474.9968670388945
44,14,151043,26,1999,0,363.67666633116215
26,8,193611,18,2007,0,362.550029302705
32,14,49228,22,2003,0,323.4005478685496
32,5,74495,18,2007,0,328.24828687643094
43,0,28261,17,2008,0,448.2794696054623
59,22,106601,18,2007,0,359.37624356422214
30,12,61260,10,2015,0,249.34569500733522
68,16,134418,2,2023,0,275.6560439812985
49,31,56176,7,2018,0,214.09581552275083
56,28,52300,19,2006,0,309.640964250125
66,8,142412,18,2007,0,330.3489873943257
69,12,33012,9,2016,1,370.7676152661793
49,5,166465,15,2010,0,399.3965526222131
21,3,102153,4,2021,1,556.5678547743909
47,19,156629,19,2006,0,330.1218330669432
54,2,195276,8,2017,2,553.6289330247245
40,16,73273,7,2018,0,249.12841527898652
56,11,112328,10,2015,1,412.1061831945728
62,0,110304,15,2010,0,403.3596766928137
32,14,106637,6,2019,1,319.006101868906
60,2,148348,14,2011,1,480.47203505710036
46,25,54639,23,2002,1,378.8364728589998
53,14,121939,28,1997,0,366.9974541768901
30,12,7310,20,2005,0,384.00928637366087
49,31,166239,19,2006,0,343.43729191784354
24,6,102944,22,2003,0,421.23503776619447
68,3,141463,16,2009,1,517.3520811279731
39,17,122013,5,2020,1,379.72906994173235
45,18,181693,14,2011,0,383.0633522040839
19,1,141964,7,2018,1,564.2886728138072
59,39,76733,6,2019,0,251.69253512251257
62,13,167214,1,2024,1,395.27930617903587
74,32,176751,29,1996,2,417.180793552884
70,13,172687,12,2013,1,497.09604614033987
23,5,178625,29,1996,0,459.6242517372087
45,3,109264,22,2003,1,538.666916091158
45,23,79071,28,1997,1,352.91427790091535
61,28,172074,5,2020,2,424.8667213427353
61,18,122611,28,1997,0,346.6423186361512
37,5,70658,4,2021,0,281.9401755934817
47,29,9852,19,2006,1,386.9882635853341
28,10,5387,0,2025,0,338.30847763993506
72,18,127571,28,1997,0,398.69372099512134
45,0,97295,17,2008,0,436.2816918427477
42,4,130381,14,2011,0,377.69901097556794
56,26,39994,22,2003,0,268.33263268478396
50,15,116912,9,2016,0,334.1680746293385
18,0,164797,2,2023,0,465.08125466706275
74,39,131632,4,2021,2,396.47865267132164
44,12,124210,23,2002,0,349.01820887791746
74,34,56565,28,1997,0,350.06104067304705
69,18,1312,12,2013,0,360.29855000228065
30,11,149277,7,2018,0,299.0826440276612
58,15,125882,21,2004,0,406.83736405381734
20,2,142667,20,2005,0,542.1974250513756
56,24,87566,28,1997,1,389.2419665096758
23,5,21329,1,2024,1,429.5218178334582
25,7,68187,8,2017,2,385.6007074899818
44,3,75542,16,2009,0,406.2159570003629
26,8,108237,26,1999,0,300.03525663279635
54,1,114476,17,2008,0,404.3406902977746
50,21,35645,12,2013,0,334.52860707903466
68,36,87502,0,2025,0,299.45369509707206
59,7,87310,11,2014,0,334.7398719517282
61,6,69619,19,2006,0,433.0792462391433
41,13,33513,19,2006,0,383.20021656154927
32,2,8749,20,2005,1,495.90091727791463
71,15,161855,4,2021,1,430.2427027409508
49,18,60645,7,2018,0,282.6152079659656
49,17,53175,26,1999,0,352.61747158004414
41,15,193781,14,2011,0,368.6829980463044
58,7,148395,26,1999,0,308.6466924238506
69,32,50762,2,2023,0,285.9789340313119
66,11,64222,5,2020,0,299.82293273038346
66,10,165565,27,1998,1,457.4484982781592
69,4,189400,12,2013,1,545.6659430214256
29,11,12213,11,2014,1,387.0569638560077
56,11,97367,18,2007,3,599.6501387168205
19,1,178002,28,1997,1,690.5621468918564
20,2,158785,17,2008,1,675.0910216144931
66,32,107157,23,2002,0,271.22368942397463
54,4,32583,0,2025,0,402.1014159823096
66,27,128792,24,2001,0,338.01954683630083
73,13,79944,26,1999,2,483.0452819753464
34,4,22369,6,2019,1,393.4761140225447
66,32,179000,11,2014,0,391.3179376493849
19,1,115844,9,2016,0,439.05628255159485
19,1,19510,28,1997,0,497.35467465774906
45,4,12120,11,2014,0,412.5263183213222
71,1,99847,10,2015,0,371.2540821652669
40,22,98575,3,2022,0,264.9410127092427
54,36,129269,18,2007,0,208.88296248324696
49,3,5295,5,2020,0,367.48878076814185
50,32,20460,24,2001,1,400.2774589038349
18,0,14963,8,2017,0,423.26848448377115
36,18,77116,19,2006,0,391.81658879750864
19,1,27328,9,2016,0,476.24612625927654
70,14,84629,4,2021,0,314.06325618340526
61,22,124034,26,1999,0,280.0773500045217
43,13,21605,12,2013,0,353.36605258674234
49,22,110901,8,2017,0,280.64789770177947
23,5,175885,1,2024,0,410.04230775460337
49,28,177443,17,2008,0,368.29018940534394
72,19,108241,20,2005,1,403.1780832526678
21,3,47598,0,2025,0,441.8511606076809
72,23,191848,23,2002,0,321.55885776885896
28,10,72258,20,2005,1,400.4628976329927
73,9,40969,11,2014,1,409.50028647660696
34,7,167984,9,2016,0,324.4167145573211
55,25,169446,1,2024,0,290.06889193015803
41,23,62784,27,1998,0,338.22293822898683
22,4,180954,8,2017,0,540.080935990326
69,16,147000,1,2024,0,261.5444352786128
51,1,21274,22,2003,0,458.3838430040929
23,5,129994,23,2002,0,451.48396273473287
39,4,34416,29,1996,0,387.2076419818505
28,10,192070,21,2004,1,445.50348344519455
65,4,100434,13,2012,4,753.7196345913763
33,15,160119,10,2015,0,280.34949317783236
50,25,174428,22,2003,0,338.94766658264007
26,8,168206,10,2015,0,345.76637040570256
23,5,198114,16,2009,2,641.7938652058625
33,11,51310,3,2022,0,255.6043397094233
46,6,80758,12,2013,0,350.959306541622
20,2,143435,6,2019,0,516.2475128699052
37,9,175635,15,2010,0,358.1030396812634
53,33,30628,0,2025,0,249.38864802134074
36,18,69672,12,2013,1,407.9851870393057
43,25,46246,0,2025,1,371.0918261772323
20,2,142233,10,2015,1,490.4278624382169
36,1,89110,5,2020,1,455.0947239381182
37,19,2810,19,2006,0,330.8720040652098
49,9,190932,2,2023,0,318.4589997342735
24,6,71688,11,2014,1,487.19499841151264
69,21,65548,4,2021,0,262.53086524646517
58,25,193435,8,2017,0,267.5610371023425
50,32,11162,25,2000,1,356.33042742945395
57,26,87858,25,2000,0,236.5351802006096
56,28,73535,11,2014,0,258.48262809069075
35,17,138291,29,1996,3,562.101689447895
57,19,70864,29,1996,0,382.8668026177603
18,0,134693,27,1998,0,614.3948738042858
28,10,118371,26,1999,1,441.73660972719904
45,18,89792,9,2016,0,284.55907766051286
74,19,175505,18,2007,0,319.9910558131086
42,24,66188,4,2021,0,286.19299290972464
67,1,186023,25,2000,1,502.9042366106315
40,22,81718,4,2021,2,353.7846764636249
48,30,36558,8,2017,3,458.58082161034156
47,21,128938,26,1999,0,319.3261505978883
59,2,146731,27,1998,0,386.12805177319115
52,5,34413,25,2000,1,362.80801768585656
24,6,10435,26,1999,1,523.8673046383843
33,15,184983,19,2006,0,389.5708974646423
43,9,28067,16,2009,0,390.1158505832251
65,8,87794,9,2016,0,225.23637895797503
74,32,93823,20,2005,1,376.1465361389627
69,31,69224,0,2025,0,297.5030481217312
66,5,1379,21,2004,0,332.39262222386293
19,1,102547,27,1998,0,469.6002059542857
18,0,108541,15,2010,0,489.756319481836
65,28,158696,25,2000,0,342.6724593214039
29,3,114634,25,2000,0,399.3899833232768
22,0,128701,14,2011,0,526.6166327785747
54,18,57745,22,2003,0,383.38058029098266
49,25,182877,16,2009,1,397.8802084986088
72,24,103915,25,2000,1,409.19177618762785
26,8,143588,19,2006,0,341.530397010438
58,14,129560,24,2001,1,424.16788154399035
52,21,155915,12,2013,3,542.9668783173232
36,18,136984,0,2025,0,310.94486366826493
65,21,152586,24,2001,0,357.7122277702785
33,15,188104,7,2018,0,349.2543226800069
20,2,159869,4,2021,1,594.097330322346
37,19,137521,5,2020,0,200.076419568161
41,23,132797,22,2003,1,390.466149665998
71,27,81406,19,2006,2,375.59134151843506
73,0,9304,29,1996,0,395.7934421484866
50,3,125555,13,2012,0,342.26274396235976
41,6,144735,21,2004,2,533.9565961820166
69,8,70320,22,2003,0,357.51910384510853
28,10,94488,10,2015,0,290.225646525308
66,18,75591,5,2020,0,342.5671220842555
25,0,95044,10,2015,0,375.9608650835206
53,9,143748,12,2013,0,348.737722738262
55,35,25192,11,2014,0,322.3543299947072
57,8,155794,21,2004,0,368.0381553793585
37,19,138518,1,2024,0,262.80946692395963
52,31,119304,20,2005,2,463.5267502504638
65,5,135797,2,2023,0,297.8709159046186
42,24,88207,22,2003,0,257.7263341465794
52,16,188704,3,2022,0,345.22130648290266
42,9,198017,16,2009,0,380.72570163941464
46,26,73741,27,1998,1,423.5945891385709
35,17,16365,27,1998,1,422.0559695678616
63,20,65792,21,2004,2,447.568311731107
35,17,195929,5,2020,0,276.29542901409945
19,1,146776,6,2019,0,487.9288376134603
71,14,50575,14,2011,0,343.0912779944294
52,3,160974,10,2015,1,449.2258721222436
33,15,119641,23,2002,0,323.4100449247328
58,8,132267,2,2023,0,338.95032288316065
53,26,53517,29,1996,0,324.65427297761204
50,25,34012,5,2020,1,356.9153265114689
21,3,142487,25,2000,1,628.3564411411312
50,27,170606,1,2024,0,271.9013295101436
31,13,21686,28,1997,0,398.59731371936203
38,19,159815,13,2012,1,443.66850822062725
65,39,32161,8,2017,0,294.1323291277073
37,19,192385,17,2008,0,412.02645612424095
73,22,2402,18,2007,0,310.68798719745223
25,7,63190,11,2014,1,380.6033083056882
24,6,183623,12,2013,0,454.0302287085894
20,2,13275,25,2000,0,537.8154942934927
34,16,159254,11,2014,1,471.4146021075571
50,32,14915,11,2014,2,473.7199010029681
65,10,909,17,2008,0,379.1788267342004
29,2,114110,8,2017,0,331.4108692518538
68,32,65908,16,2009,1,415.90924425538776
39,10,127337,20,2005,0,314.21471076109617
72,15,22620,15,2010,1,431.8438411972982
39,17,34112,16,2009,0,417.64395398885426
63,29,2431,20,2005,0,319.8745499459191
47,9,86590,23,2002,0,291.6365481025445
55,17,62175,7,2018,0,290.22307146342376
55,37,117472,10,2015,0,335.24513121189545
62,18,32624,23,2002,1,407.7870956539009
68,35,61264,1,2024,1,363.8098210046373
71,12,113766,7,2018,0,271.3012910367691
25,2,163030,11,2014,1,535.8096795825585
44,9,132767,20,2005,2,476.52888066814165
44,26,100211,0,2025,0,328.5274251382148
51,0,119502,22,2003,0,404.82180438633446
38,20,181004,12,2013,0,322.9367348152785
47,7,44225,21,2004,0,416.4594710822575
50,16,132475,20,2005,0,351.82401803642097
45,8,169708,16,2009,1,475.0399188819454
64,5,10839,13,2012,2,434.79426160911464
50,24,196618,13,2012,1,417.5929366022566
22,4,178901,15,2010,0,569.8229013693627
65,27,140302,16,2009,1,343.6122483701991
36,18,51977,5,2020,0,320.038681347633
21,3,171304,25,2000,2,745.7587450139544
52,8,113050,27,1998,1,384.80088324921667
66,17,25651,6,2019,0,336.3586215799445
34,16,97919,25,2000,1,392.22497087587624
61,1,39963,25,2000,0,399.19926092824454
45,27,186944,0,2025,0,299.7000084893197
47,29,117776,24,2001,1,361.44158205916284
46,28,79198,14,2011,1,393.3266138628715
63,36,144811,19,2006,0,315.77934267016843
70,14,130697,20,2005,0,299.8006763323874
23,5,63294,17,2008,0,409.2037780007894
52,17,179428,29,1996,1,430.1088442068578
58,33,1789,27,1998,0,296.59774996504484
54,21,150492,25,2000,0,344.9093029824225
41,10,89297,12,2013,0,354.1886295193919
46,12,168678,23,2002,0,308.4618220369913
66,3,169712,29,1996,0,486.15178177875686
63,21,118341,1,2024,2,375.273969574278
70,6,44135,18,2007,0,311.3880566429758
48,23,37067,14,2011,0,339.0696120699246
52,3,189492,11,2014,0,392.23257506385215
50,27,17357,14,2011,1,325.32827211005355
69,14,170923,24,2001,0,443.37467587229787
38,0,38262,17,2008,0,418.3891792362063
49,2,58643,13,2012,0,391.88259988871926
40,13,152606,5,2020,0,333.25495017789285
50,32,91270,11,2014,0,305.05291637420663
20,0,163944,19,2006,0,570.3232645588736
35,17,138761,22,2003,0,359.6740346122361
42,24,69103,29,1996,3,490.85925303123895
59,20,86268,29,1996,0,355.6407295811807
48,28,86310,5,2020,1,319.25926559741157
71,4,37412,25,2000,2,554.9739819777061
20,2,47734,29,1996,1,587.8179464111487
57,27,87793,8,2017,0,309.57228574104823
63,20,22228,29,1996,0,364.42222579799306
41,6,120627,24,2001,1,445.11186869293283
67,2,77924,25,2000,0,414.11299210524754
49,19,11319,3,2022,0,306.7701289788956
64,18,6475,16,2009,1,408.6490680835956
39,21,145800,1,2024,2,412.72472193607496
40,3,29545,15,2010,0,403.65461899237323
19,1,96636,23,2002,1,591.4790574824866
44,0,192828,13,2012,0,471.03832116648636
59,3,199847,25,2000,1,541.9159233961926
19,1,169771,7,2018,0,502.4975698207303
43,25,167893,13,2012,1,431.1937728032594
34,16,30615,1,2024,1,342.62627873593357
57,24,13746,15,2010,1,366.0323317976396
50,20,153817,3,2022,0,320.6876688522007
26,8,1245,0,2025,1,398.6037300735903
60,24,117408,22,2003,0,310.9295852339169
71,31,112143,19,2006,1,377.29131575977846
65,31,155925,26,1999,1,375.16679179105756
56,4,27632,13,2012,0,435.9238377094109
46,28,12856,7,2018,1,336.84322180354906
59,38,187965,24,2001,0,316.4928490462485
72,15,68049,27,1998,0,402.68980364485475
43,25,58182,24,2001,1,382.7158326752568
52,20,133873,2,2023,0,281.2916882818308
67,8,170821,4,2021,0,329.91443187980553
42,5,55654,5,2020,0,288.9428127208009
41,23,55381,21,2004,0,356.8163148316801
30,12,58601,25,2000,0,372.99542317086633
24,6,146154,7,2018,0,388.62105287626895
74,4,145720,5,2020,0,411.5053779165659
53,22,364,5,2020,0,238.85307808524237
62,16,165640,3,2022,1,419.27692646974396
37,11,7436,6,2019,1,376.4175132920216
18,0,86713,29,1996,0,510.5864129483456
25,7,157826,29,1996,1,448.62037951466135
63,2,60194,23,2002,2,607.2953491686875
33,15,24544,18,2007,1,439.49665938662673
31,13,191252,6,2019,0,287.3321945336949
29,8,63295,2,2023,1,414.4926171408433
68,28,143710,7,2018,0,304.28276095248435
40,22,196787,0,2025,0,288.55384169527855
32,14,69409,0,2025,1,336.26251410697296
45,12,126839,13,2012,1,447.31337832567897
51,31,113759,5,2020,0,284.8920299093609
19,1,17157,9,2016,1,561.4922217389712
49,16,176637,24,2001,1,472.5256369234531
40,22,65888,27,1998,0,346.9364232601488
39,20,187167,13,2012,0,405.1780937610023
68,1,64947,3,2022,1,415.98368352979423
42,24,70880,5,2020,1,306.2262337264973
39,5,4507,15,2010,0,355.67853644532977
39,17,103134,27,1998,0,413.69239153420006
66,29,43988,20,2005,2,430.2064134863969
69,21,98421,27,1998,0,321.39366048556343
59,32,147937,0,2025,0,296.8378460088452
23,5,102591,5,2020,0,362.4236898094294
32,14,129614,8,2017,1,383.924523453965
71,31,27213,14,2011,0,310.91935870859055
60,13,187026,11,2014,0,416.99689507637964
54,9,57450,2,2023,0,271.6623692769504
50,32,135549,10,2015,0,339.4166182027809
25,7,62222,14,2011,1,404.62525956481096
70,8,137605,2,2023,2,435.6439609110559
61,27,180467,13,2012,0,341.6964372185578
61,10,154468,1,2024,0,297.6404402264675
22,4,12755,28,1997,1,645.9976689779626
56,38,131937,3,2022,0,262.0706312497125
21,3,142245,25,2000,0,533.2715941766118
23,5,189977,18,2007,0,450.2210403484224
62,27,169169,11,2014,0,333.7555039832129
49,23,33371,1,2024,0,261.1665165892529
69,7,142326,16,2009,2,499.518448913273
47,8,135090,2,2023,0,309.23531498751566
64,32,5192,9,2016,1,318.7021891860788
52,32,2015,15,2010,1,361.5016746430883
72,18,108154,21,2004,1,423.447303954957
57,2,199988,8,2017,0,401.93146123973764
69,9,28343,10,2015,1,363.86769937649933
33,15,69306,20,2005,0,404.08021010458776
30,0,5829,14,2011,0,430.5580901964921
67,28,34381,2,2023,1,381.7210049940148
59,33,111451,15,2010,1,370.5148215006293
47,12,18263,29,1996,0,343.54760222363797
36,0,184332,20,2005,0,440.2373989483517
34,16,174378,20,2005,0,388.5572211460062
73,28,58418,20,2005,0,300.73010336052
36,12,148,27,1998,0,330.95526975457267
45,27,132826,11,2014,0,253.49097496747896
72,38,26745,22,2003,0,354.47535476950753
43,23,72914,4,2021,0,258.5020593499263
54,25,186905,6,2019,0,341.2491429474345
43,16,151212,8,2017,0,327.11257362164895
70,6,60653,20,2005,0,364.33754679213945
40,12,192593,17,2008,2,533.5289688832415
26,4,78315,20,2005,0,426.4410154195183
29,11,31075,7,2018,1,329.7289150899451
70,2,161769,11,2014,0,490.8705039596681
18,0,185616,19,2006,0,558.2447904677858
18,0,9795,1,2024,0,477.77029906832286
64,0,64555,9,2016,0,316.1798885244603
51,16,183276,18,2007,0,356.86472559558445
49,24,195932,8,2017,0,308.15346300234825
71,2,103107,24,2001,1,491.89101013050185
65,14,51529,23,2002,0,358.70589769105385
42,24,142744,7,2018,1,330.22750836286133
57,31,185310,23,2002,0,396.3883041439458
62,25,167022,23,2002,0,357.7603474360925
70,15,11009,23,2002,0,332.01958504492126
18,0,178168,0,2025,0,483.202909209985
33,15,150616,5,2020,2,498.1238322139036
56,8,186800,11,2014,0,333.64975253511363
22,0,29381,24,2001,0,534.27584972126
39,21,127769,23,2002,0,277.0265892952208
46,21,156359,18,2007,0,374.8268260780263
72,15,64610,26,1999,1,401.03301443002874
20,2,68122,16,2009,0,533.28708005556
29,11,68184,1,2024,0,301.11579835862005
43,25,171153,10,2015,0,255.39912677197316
33,15,176384,17,2008,0,398.709598664835
68,18,87228,22,2003,0,323.3740125050062
54,1,72943,27,1998,0,438.0555144675215
39,14,80770,21,2004,1,383.9400054547219
74,2,52726,10,2015,0,367.26196864062933
46,10,153283,17,2008,0,380.6719353220208
31,13,160552,7,2018,1,377.92248560457875
45,27,47780,14,2011,0,351.8925019163305
22,4,188210,8,2017,0,496.00626281474416
64,1,42503,14,2011,1,484.1503569841933
66,31,57893,6,2019,0,278.9626583872269
47,7,177265,19,2006,0,335.8295482021946
63,21,61358,12,2013,0,384.0509602770327
69,5,80857,12,2013,0,312.42912804010075
22,4,120457,0,2025,0,466.5537335716516
29,11,153189,19,2006,1,457.23351908092855
33,15,190128,3,2022,0,365.41285071743806
43,14,117928,23,2002,0,350.33763030237475
43,25,58706,3,2022,0,250.85121224666057
65,17,140548,3,2022,0,244.2607192532179
38,1,82806,12,2013,1,443.3969028863124
56,12,55006,1,2024,0,292.8594113964913
53,14,87238,27,1998,0,386.1102842853228
50,19,194227,25,2000,1,405.23552893428456
47,28,198393,22,2003,2,533.6510637469999
54,28,45798,14,2011,1,405.2081370009809
40,2,77271,3,2022,0,319.5384683467547
27,9,30177,26,1999,0,312.44462843603657
71,2,128022,5,2020,1,402.4671623841733
22,4,130156,2,2023,1,548.9786144382462
53,35,82215,6,2019,1,322.31349563614583
51,3,43013,5,2020,0,357.1911664209417
69,10,82600,2,2023,1,344.8610403244923
48,30,96099,3,2022,0,275.3456781606545
27,9,53450,9,2016,0,325.1139923975572
36,18,179000,29,1996,0,375.65405277443546
49,29,122640,20,2005,0,290.6197784419647
18,0,92403,8,2017,0,479.76322263454534
73,8,176454,29,1996,0,372.8595549483397
22,4,99290,5,2020,0,466.559080901547
62,30,131832,28,1997,0,307.5030726220055
21,3,24142,19,2006,1,653.5512545391919
33,14,110189,26,1999,1,450.9972894745726
41,23,107532,10,2015,0,305.9490131780383
33,15,148362,6,2019,1,343.44371846442607
72,7,131436,17,2008,0,328.1364722377218
19,1,56921,3,2022,1,566.21216454274
66,36,19797,4,2021,0,268.0626636404174
45,27,32535,3,2022,0,268.97392225706307
49,31,46300,3,2022,0,249.15261667331654
44,16,47176,26,1999,1,456.28279888690525
37,19,16105,12,2013,0,376.21477913189466
41,23,139011,15,2010,1,369.03056425650146
29,11,79472,24,2001,0,325.6382071623567
67,28,173101,13,2012,3,525.7901484759445
52,6,146935,10,2015,1,363.9971485975933
50,27,78097,28,1997,0,322.1030970909238
50,8,141519,1,2024,1,334.1273484079366
68,27,96160,21,2004,1,335.25385345663534
60,5,46940,13,2012,0,347.38962670177597
54,28,85001,23,2002,1,398.5398830358199
29,11,150714,23,2002,1,457.61497739393326
20,2,198715,26,1999,1,675.6189648495574
18,0,7928,6,2019,0,416.0999887172263
50,30,48002,25,2000,0,291.48036150099205
57,2,84853,10,2015,2,530.3523893852296
27,9,114614,3,2022,0,262.40375876274385
60,25,117517,6,2019,0,323.18169305267656
61,35,156089,28,1997,0,344.102134175959
46,28,79064,15,2010,0,262.9099477460433
30,12,119694,25,2000,0,360.09712211631665
29,11,144385,5,2020,2,433.5066489966825
48,12,132631,26,1999,0,331.8714592714038
63,10,50893,5,2020,1,388.17910150687015
19,1,15167,1,2024,0,431.4044211492843
68,7,38598,23,2002,0,363.9596139952183
67,39,138595,7,2018,0,268.9565979039317
52,34,49777,29,1996,1,364.09238519341847
